id,nom,insee,adresse,url,type_usage,gratuit,nb_places,nb_pr,nb_pmr,nb_voiture,nb_velo,nb_2r_el,nb_autopar,nb_2_rm,nb_covoit,hauteur_ma,num_siret,Xlong,Ylat,tarif_pmr,tarif_1h,tarif_2h,tarif_3h,tarif_4h,tarif_24h,abo_reside,abo_non_re,type_ouvra,info,typo_fonct,domanialit,proprietai,surf_utile,nbre_nivea,places_pub,places_res
34172-P-001,Arc de Triomphe,"34172",rue Foch,,tous,false,"451",,"10","3","0",,,"0",,"190","21340172202058",3.873200750000000,43.611002669999998,,,,,,,,,ouvrage,,Centre-ville,Public,Ville de Montpellier,"9375","5","438","0"
34172-P-002,Triangle,"34172",rue Foch,,tous,false,"594",,"0","0","0",,,"0",,"190","32022964405241",3.881844180000000,43.609233840000002,,,,,,,,,ouvrage,,Centre-ville,Privé,Indigo,"0","0","436","158"
34172-P-003,Pitot,"34172",rue du Carré du Roi,,tous,false,"771",,"10","0","9",,,"9",,"256","21340172202058",3.870191170000000,43.612244939999997,,,,,,,,,ouvrage,,Centre-ville,Public,Ville de Montpellier,"18000","3","553","208"
34172-P-004,Gambetta,"34172",cours Gambetta,,tous,false,"482",,"10","0","0",,,"2",,"190","21340172202058",3.871374360000000,43.606951379999998,,,,,,,,,ouvrage,,Centre-ville,Public,Ville de Montpellier,"10950","1","472","0"
34172-P-005,Foch Préfecture,"34172",Place des Martyrs de la Resistance,,tous,false,"685",,"9","0","0",,,"0",,"190","21340172202058",3.876570840000000,43.610749120000001,,,,,,,,,ouvrage,,Centre-ville,Public,Ville de Montpellier,"10750","5","385","291"
34172-P-006,Comédie,"34172",place de la Comedie,,tous,false,"824",,"17","0","0",,,"9",,"185","21340172202058",3.879761960000000,43.608560920000002,,,,,,,,,ouvrage,,Centre-ville,Public,Ville de Montpellier,"19800","4","787","20"
34172-P-007,Polygone,"34172",rue des Pertuisanes,,tous,false,"1942",,"20","0","0",,,"0",,N/A,"21340172202058",3.884765390000000,43.608370960000002,,,,,,,,,ouvrage,,Centre-ville,Public,Ville de Montpellier,"49325","4","1922","0"
34172-P-008,Antigone,"34172",boulevard d'Antigone,,tous,false,"248",,"6","0","0",,,"0",,"185","21340172202058",3.888818930000000,43.608716059999999,,,,,,,,,ouvrage,,Centre-ville,Public,Ville de Montpellier,"4000","2","242","0"
34172-P-009,Europa,"34172",Rue Poséidon,,tous,false,"600",,"10","0","0",,,"0",,"250","21340172202058",3.892530740000000,43.607849710000004,,,,,,,,,ouvrage,,Centre-ville,Public,Ville de Montpellier,"5560","2","590","0"
34172-P-010,Corum,"34172",rue du Faubourg de Nimes,,tous,false,"483",,"10","0","0",,,"0",,"185","24340001700022",3.882257730000000,43.613888209999999,,,,,,,,,ouvrage,,Centre-ville,Public,Montpellier Méditerranée Métropole,"0","3","473","0"
34172-P-011,Saint Roch,"34172",rue du Grand Saint Jean,,tous,false,"805",,"12","0","40",,,"30",,"200","21340172202058",3.878550720000000,43.603291489999997,,,,,,,,,ouvrage,,Centre-ville,Public,Ville de Montpellier,"0","11","711","94"
34172-P-013,Hôtel de ville,"34172",avenue Germaine Tillion,,tous,false,"682",,"15","0","2",,,"19",,"190","21340172202058",3.895853270000000,43.599231000000003,,,,,,,,,ouvrage,,Centre-ville,Public,Ville de Montpellier,"0","4","452","232"
34172-P-014,Circé Odysseum,"34172",rue Georges Melies,,tous,false,"1200",,"0","0","0",,,"0",,"190","24340001700022",3.917849500000000,43.604953770000002,,,,,,,,,ouvrage,,Parc relais,Public,Montpellier Méditerranée Métropole,"0","0","0","0"
34172-P-015,Jacou,"34120",avenue Helène Maingain,,tous,false,"80",,"0","0","0",,,"0",,N/A,"24340001700022",3.912884750000000,43.654598700000001,,,,,,,,,enclos_en_surface,,Proximité,Public,Montpellier Méditerranée Métropole,"0","0","0","0"
34172-P-016,Georges Pompidou,"34057",avenue du Maréchal de Lattre de Tassigny,,tous,false,"260",,"0","0","0",,,"0",,"200","24340001700022",3.921084190000000,43.649339200000000,,,,,,,,,enclos_en_surface,,Proximité,Public,Montpellier Méditerranée Métropole,"0","0","0","0"
34172-P-017,Via Domitia,"34090",rue Olympie,,tous,false,"60",,"0","0","0",,,"0",,N/A,"24340001700022",3.929538080000000,43.646658010000003,,,,,,,,,enclos_en_surface,,Proximité,Public,Montpellier Méditerranée Métropole,"0","0","0","0"
34172-P-018,Notre Dame de Sablassou,"34057",chemin du Pech Saint Peyre,,tous,false,"350",,"0","0","0",,,"0",,"200","24340001700022",3.922295360000000,43.634191940000001,,,,,,,,,enclos_en_surface,,Proximité,Public,Montpellier Méditerranée Métropole,"0","0","0","0"
